X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId,VEHICLES_IN_STREET
-8832228.439,5433793.24,80243565,5001126666,2015,2015/07/04 04:00:00+00,1340,13,FINCH AVE E,GORDON BAKER RD,10 m West of,Major Arterial,North York,17,33,43.795134,-79.341258,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,70 to 74,Major,<Null>,Unknown,<Null>,<Null>,<Null>,<Null>,Vehicle is going straight thru inter.while ped cross with ROW,Other,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D33,46,Pleasant View (46),11002,46
-8853449.942,5421549.303,80247514,5001383996,2015,2015/08/12 04:00:00+00,1524,15,WILSON AVE,KELVIN AVE,<Null>,Major Arterial,Etobicoke York,7,31,43.715689,-79.531894,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,50 to 54,None,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D31,23,Pelmo Park-Humberlea (23),11005,23
-8849204.328,5404265.312,80489685,5001648951,2015,2015/09/24 04:00:00+00,110,1,LAKE SHORE BLVD W,ROYAL YORK RD,40 m West of,Major Arterial,Etobicoke York,3,22,43.603362,-79.493755,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,30 to 34,Major,<Null>,West,Pick Up Truck,Going Ahead,Speed too Fast For Condition,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D22,17,Mimico (17),11006,17
-8853109.416,5407790.974,80502528,5001136090,2015,2015/07/06 04:00:00+00,8,0,KIPLING AVE,JUTLAND RD,<Null>,Major Arterial,Etobicoke York,3,22,43.626292,-79.528835,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Fatal,Turning Movement,Driver,50 to 54,Minimal,<Null>,South,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),11007,14
-8853109.416,5407790.974,80502529,5001136090,2015,2015/07/06 04:00:00+00,8,0,KIPLING AVE,JUTLAND RD,<Null>,Major Arterial,Etobicoke York,3,22,43.626292,-79.528835,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Fatal,Turning Movement,Motorcycle Driver,25 to 29,Fatal,33,North,Motorcycle,Going Ahead,Exceeding Speed Limit,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),11008,14
-8853109.416,5407790.974,80502530,5001136090,2015,2015/07/06 04:00:00+00,8,0,KIPLING AVE,JUTLAND RD,<Null>,Major Arterial,Etobicoke York,3,22,43.626292,-79.528835,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Fatal,Turning Movement,Passenger,50 to 54,Minor,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),11009,14
-8837651.257,5430724.603,80486542,5001160138,2015,2015/07/09 04:00:00+00,1407,14,BAYVIEW AVE,WYCLIFFE CRES,26 m South of,Major Arterial,North York,"18,17","33,32",43.775233,-79.389972,Intersection,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,55 to 59,Major,<Null>,North,"Automobile, Station Wagon",Going Ahead,Lost control,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D33,52,Bayview Village (52),11010,52
-8837651.257,5430724.603,80486543,5001160138,2015,2015/07/09 04:00:00+00,1407,14,BAYVIEW AVE,WYCLIFFE CRES,26 m South of,Major Arterial,North York,"18,17","33,32",43.775233,-79.389972,Intersection,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,65 to 69,None,<Null>,North,"Automobile, Station Wagon",Slowing or Stopping,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D33,52,Bayview Village (52),11011,52
-8837651.257,5430724.603,80486544,5001160138,2015,2015/07/09 04:00:00+00,1407,14,BAYVIEW AVE,WYCLIFFE CRES,26 m South of,Major Arterial,North York,"18,17","33,32",43.775233,-79.389972,Intersection,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,60 to 64,None,<Null>,North,"Automobile, Station Wagon",Slowing or Stopping,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D33,52,Bayview Village (52),11012,52
-8852856.275,5416402.901,80244230,5001168527,2015,2015/07/10 04:00:00+00,1850,18,EGLINTON AVE W,ROYAL YORK RD,<Null>,Major Arterial,Etobicoke York,2,"23,22",43.682265,-79.526561,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,unknown,None,<Null>,West,<Null>,Turning Left,Failed to Yield Right of Way,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D22,9,Edenbridge-Humber Valley (9),11013,9
-8852856.275,5416402.901,80244231,5001168527,2015,2015/07/10 04:00:00+00,1850,18,EGLINTON AVE W,ROYAL YORK RD,<Null>,Major Arterial,Etobicoke York,2,"23,22",43.682265,-79.526561,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,55 to 59,Major,<Null>,East,Motorcycle,Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D22,9,Edenbridge-Humber Valley (9),11014,9
-8859593.776,5427391.753,80486629,5001169933,2015,2015/07/10 04:00:00+00,2325,23,KIPLING AVE,BEACONHILL RD,30 m South of,Major Arterial,Etobicoke York,1,23,43.753611,-79.587085,Intersection,Non Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,35 to 39,None,<Null>,North,"Automobile, Station Wagon",Changing Lanes,Lost control,"Ability Impaired, Alcohol Over .08",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,Yes,Yes,Yes,<Null>,Yes,<Null>,D23,2,Mount Olive-Silverstone-Jamestown (2),11015,2
-8859593.776,5427391.753,80486630,5001169933,2015,2015/07/10 04:00:00+00,2325,23,KIPLING AVE,BEACONHILL RD,30 m South of,Major Arterial,Etobicoke York,1,23,43.753611,-79.587085,Intersection,Non Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,50 to 54,None,<Null>,North,Municipal Transit Bus (TTC),Slowing or Stopping,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,Yes,Yes,Yes,<Null>,Yes,<Null>,D23,2,Mount Olive-Silverstone-Jamestown (2),11016,2
-8859593.776,5427391.753,80486631,5001169933,2015,2015/07/10 04:00:00+00,2325,23,KIPLING AVE,BEACONHILL RD,30 m South of,Major Arterial,Etobicoke York,1,23,43.753611,-79.587085,Intersection,Non Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Passenger,50 to 54,Major,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,Yes,Yes,Yes,<Null>,Yes,<Null>,D23,2,Mount Olive-Silverstone-Jamestown (2),11017,2
