X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOUR,ObjectId,VEHICLE_STREET
-8848823.838,5405014.153,80542743,6000946578,2016,2016/06/01 04:00:00+00,240,2,LAKE SHORE BLVD W,MILES RD,30 m West of,Major Arterial,Etobicoke York,3,22,43.608233,-79.490337,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,25 to 29,Minimal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D22,17,Mimico (17),12001,17
-8848823.838,5405014.153,80542744,6000946578,2016,2016/06/01 04:00:00+00,240,2,LAKE SHORE BLVD W,MILES RD,30 m West of,Major Arterial,Etobicoke York,3,22,43.608233,-79.490337,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,20 to 24,Major,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D22,17,Mimico (17),12002,17
-8817729.187,5428815.72,80565808,6000947584,2016,2016/06/01 04:00:00+00,836,8,LAWRENCE AVE E,MOSSBANK DR,20 m West of,Major Arterial,Scarborough,24,43,43.76285,-79.211009,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,20 to 24,Major,<Null>,East,"Automobile, Station Wagon",Overtaking,Speed too Fast For Condition,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D43,137,Woburn (137),12003,137
-8817729.187,5428815.72,80565809,6000947584,2016,2016/06/01 04:00:00+00,836,8,LAWRENCE AVE E,MOSSBANK DR,20 m West of,Major Arterial,Scarborough,24,43,43.76285,-79.211009,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,35 to 39,None,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D43,137,Woburn (137),12004,137
-8817729.187,5428815.72,80565810,6000947584,2016,2016/06/01 04:00:00+00,836,8,LAWRENCE AVE E,MOSSBANK DR,20 m West of,Major Arterial,Scarborough,24,43,43.76285,-79.211009,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,30 to 34,None,<Null>,East,Delivery Van,Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D43,137,Woburn (137),12005,137
-8817729.187,5428815.72,80565811,6000947584,2016,2016/06/01 04:00:00+00,836,8,LAWRENCE AVE E,MOSSBANK DR,20 m West of,Major Arterial,Scarborough,24,43,43.76285,-79.211009,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,15 to 19,Major,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D43,137,Woburn (137),12006,137
-8842725.867,5411409.519,80542794,6000951747,2016,2016/06/01 04:00:00+00,1940,19,DUNDAS ST W,BROCK AVE,<Null>,Minor Arterial,Toronto and East York,9,11,43.649817,-79.435558,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,<Null>,West,Bicycle,Turning Left,<Null>,<Null>,<Null>,<Null>,<Null>,Cyclist turned left across motorists path.,Disobeyed Traffic Control,Inattentive,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D11,84,Little Portugal (84),12007,84
-8829389.236,5434044.469,80565042,6001535813,2016,2016/08/30 04:00:00+00,630,6,WARDEN AVE,FINCH AVE E,25M,Major Arterial,Scarborough,22,42,43.796763,-79.315753,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Rear End,Driver,65 to 69,None,<Null>,South,Municipal Transit Bus (TTC),Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D42,117,L'Amoreaux (117),12008,117
-8842725.867,5411409.519,80542795,6000951747,2016,2016/06/01 04:00:00+00,1940,19,DUNDAS ST W,BROCK AVE,<Null>,Minor Arterial,Toronto and East York,9,11,43.649817,-79.435558,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,25 to 29,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D11,84,Little Portugal (84),12009,84
-8838838.591,5409718.894,80497451,6000133147,2016,2016/01/23 05:00:00+00,35,0,BATHURST ST,FORT YORK BLVD,<Null>,Major Arterial,Toronto and East York,10,14,43.638827,-79.400638,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,None,<Null>,South,"Automobile, Station Wagon",Slowing or Stopping,Driving Properly,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D14,77,Waterfront Communities-The Island (77),12010,77
