X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId,VEHICLE_IN_STREET
-8839511.183,5425922.704,80783173,7000941921,2017,2017/05/28 04:00:00+00,1345,13,YONGE ST,YORK MILLS RD,<Null>,Major Arterial,North York,"8,15",32,43.744078,-79.40668,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,75 to 79,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D32,40,St.Andrew-Windfields (40),13001,40
-8843310.183,5417991.445,80776682,7000948522,2017,2017/05/29 04:00:00+00,1343,13,OAKWOOD AVE,VAUGHAN RD,<Null>,Minor Arterial,Toronto and East York,12,13,43.692584,-79.440807,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,60 to 64,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D13,107,Oakwood Village (107),13003,107
-8843310.183,5417991.445,80776683,7000948522,2017,2017/05/29 04:00:00+00,1343,13,OAKWOOD AVE,VAUGHAN RD,<Null>,Minor Arterial,Toronto and East York,12,13,43.692584,-79.440807,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,35 to 39,Major,<Null>,South,Motorcycle,Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D13,107,Oakwood Village (107),13005,107
-8845120.016,5421216.788,80783174,7000955246,2017,2017/05/30 04:00:00+00,1305,13,960 LAWRENCE AVE W,<Null>,7 m South of,Major Arterial,North York,8,"32,13",43.71353,-79.457065,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,70 to 74,Major,<Null>,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),13007,31
-8845120.016,5421216.788,80783175,7000955246,2017,2017/05/30 04:00:00+00,1305,13,960 LAWRENCE AVE W,<Null>,7 m South of,Major Arterial,North York,8,"32,13",43.71353,-79.457065,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,65 to 69,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),13009,31
-8840133.793,5431522.156,80775260,7000525658,2017,2017/03/24 04:00:00+00,2213,22,FINCH AVE E,DORIS AVE,<Null>,Major Arterial,North York,18,32,43.780406,-79.412273,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Cyclist Collisions,Driver,50 to 54,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D32,51,Willowdale East (51),13011,51
-8835538.191,5412702.541,80757203,7001372973,2017,2017/07/31 04:00:00+00,713,7,SHERBOURNE ST,DUNDAS ST E,<Null>,Major Arterial,Toronto and East York,13,51,43.658221,-79.37099,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,45 to 49,Major,<Null>,Unknown,<Null>,<Null>,<Null>,<Null>,Other / Undefined,Crossing with right of way,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D51,73,Moss Park (73),13013,73
-8840133.793,5431522.156,80775261,7000525658,2017,2017/03/24 04:00:00+00,2213,22,FINCH AVE E,DORIS AVE,<Null>,Major Arterial,North York,18,32,43.780406,-79.412273,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,<Null>,South,Bicycle,Going Ahead,<Null>,<Null>,<Null>,<Null>,<Null>,Motorist turned left across cyclists path.,Disobeyed Traffic Control,Inattentive,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D32,51,Willowdale East (51),13110,51
-8835538.191,5412702.541,80757204,7001372973,2017,2017/07/31 04:00:00+00,713,7,SHERBOURNE ST,DUNDAS ST E,<Null>,Major Arterial,Toronto and East York,13,51,43.658221,-79.37099,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,33,Unknown,<Null>,<Null>,<Null>,<Null>,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D51,73,Moss Park (73),13112,73
-8845120.016,5421216.788,80783176,7000955246,2017,2017/05/30 04:00:00+00,1305,13,960 LAWRENCE AVE W,<Null>,7 m South of,Major Arterial,North York,8,"32,13",43.71353,-79.457065,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,50 to 54,Minimal,<Null>,East,Delivery Van,Slowing or Stopping,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),13113,31
-8835538.191,5412702.541,80780912,7001372973,2017,2017/07/31 04:00:00+00,713,7,SHERBOURNE ST,DUNDAS ST E,<Null>,Major Arterial,Toronto and East York,13,51,43.658221,-79.37099,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,25 to 29,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Lost control,Fatigue,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D51,73,Moss Park (73),13114,73
-8845120.016,5421216.788,80783177,7000955246,2017,2017/05/30 04:00:00+00,1305,13,960 LAWRENCE AVE W,<Null>,7 m South of,Major Arterial,North York,8,"32,13",43.71353,-79.457065,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,60 to 64,Minimal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),13116,31
-8851697.884,5419146.655,80775274,7000532785,2017,2017/03/26 04:00:00+00,254,2,LAWRENCE  AVE W,WESTON RD,<Null>,Major Arterial,Etobicoke York,5,12,43.700087,-79.516155,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,70 to 74,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D12,113,Weston (113),13117,113
-8859547.912,5423130.568,80903122,7001375273,2017,2017/07/31 04:00:00+00,1345,13,MARTIN GROVE RD,WESTHUMBER  BLVD,<Null>,Major Arterial,Etobicoke York,1,23,43.725955,-79.586673,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,65 to 69,Minimal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D23,1,West Humber-Clairville (1),13119,1
-8845120.016,5421216.788,80783178,7000955246,2017,2017/05/30 04:00:00+00,1305,13,960 LAWRENCE AVE W,<Null>,7 m South of,Major Arterial,North York,8,"32,13",43.71353,-79.457065,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,80 to 84,Minimal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),13121,31
-8851697.884,5419146.655,80775275,7000532785,2017,2017/03/26 04:00:00+00,254,2,LAWRENCE  AVE W,WESTON RD,<Null>,Major Arterial,Etobicoke York,5,12,43.700087,-79.516155,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,<Null>,South,<Null>,<Null>,<Null>,<Null>,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,"Ability Impaired, Drugs",<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D12,113,Weston (113),13122,113
